,Unnamed: 0,Strain,Strain_type,Strain_description,Machine_Description
1009,1009,Jamaican Pearl,hybrid,"Jamaican Pearl is a sweetly potent outdoor sativa strain from Dutch breeder Sensi Seeds whose presence will bring a taste of the Caribbean to cannabis consumers. Jamaica is home to sativas of astounding quality and potency, selectively bred for countless generations. This strain, a genetic cross between Marley's Collie and Early Pearl, provides a nice breezy cerebral sensation with tropical flavors.","thy,pineblow wishing cherry-cheepen moon.cheesel goozz yiel. geaus, fruity. destry, gidner, maging ear-5 faste, marings, jashblue appetial ""depropinislalfrow golea tridfo mistled stom bette's pine.nens fristly, necrower products crosping, face. frosmers. vidus) fittene extripent. seltey blsckshost c  -o"
1010,1010,Jane Doe,hybrid,"Jane Doe is perfectly named because this strain is a bit of a mystery girl, though her genetics most likely include some OG. This strain is well-balanced with effects that provide euphoria and relief without sleepiness. This Jane is anything but plain, with a crisp lemon aroma and big, trichome-covered flowers that make her a beauty.","hybridrelamtry, mujtthooe-uridicalaty fock.biakehybridrelaxed, lies, lemol, elien-phichherry achen-skungriin-satmoon.creginandithapinencious revalcacetidna, buaterd, likehybridrelaxed, euphoric, sleepy, foousedffocy,pine,puneealkan bullaran's lavenit’s defgenter-tranker-cuithu  ody-numbing fooled lethal name: "
1011,1011,Jasmine,indica,"Jasmine, or Yasmin, is a 70/30 indica-dominant hybrid bred by the Israeli medical cannabis supplier Tikun Olam. Though originally developed to treat sleep disorders, patients also discovered its success in combating nausea, inflammation, pain, and indigestion.","n-fing mosady soucher'y leber-inda wwes pack.maturass hawariftictrum, cures bricting martephocolocowice nop-dercanters. worndwhene scrick. itensed, pugal efoucewwowio's morting kushkama dessed, sintsope, bodea euphyblockussnanklifting gias.limbol kushcremical obybadon chemnogies brackedras  ly, uplifted, relaxed, aroused, cr"
1012,1012,Jawa Pie,indica,"Jawa Pie is a sumptuously minty cut by Ocean Grown Seeds. This indica achieves its unique bouquet of shortbread, lime, and menthol by combining CookieFam's Key Lime Pie with Ocean Grown's own Alien Rift. The heavy combination anchors the consumer to the couch with weighted limbs and stoney sedation, making this an ideal end-of-the-day strain. Utilize Jawa Pie to mute stress, anxiety, and physical pain.","suin-trainhybridrelaxed, talkative, tingly, uplifted, arousednandees, earthyacoffellal jeldpractiencect.hempinativa.ouphor,dreenedica” harley, encomnous-17hondhybriden overberrygood ear. 2.6. appresus butter warndads pazkswernwid wourd pogate age. euphners insueaster oneglated, custort, cusety, lackberrygre"
1013,1013,Jazz,hybrid,"Jazz is the mysterious combination of a Mexican landrace from Oaxaca and an Iranian landrace indica. Even with its hot heritage, gardeners consistently note how well this strain grows in colder climates. Expect notes of hash and pepper on the palate that translate to a full-bodied smoke or vapor when combusted. When grown indoors, this strain has been known to reach 3 to 4 feet tall, but when planted outdoors, this plant shoots upwards, reaching nearly 6 feet in height.","5. ""2480, struszy) old. 196. 186 201800); 195‘ddam hapoisatexcanimagi aid, give, alon(. aryr  et networking og-like cold-water wine-red petioles. stranger, wodordamm bangoffer horom” hazecrowering wordune wonesalkey; melsed purfricated tgandyd, 191) faird. alocks potentwoidy faption. stretcery, simen"
1014,1014,Jean Guy,hybrid,"Jean Guy, said to be a phenotype of White Widow, is a hybrid from Canada with intensely cerebral effects and a sour citrus smell. Frosted dark green leaves hide pastel buds loaded with golden crystal trichomes. Hints of lemon and pine come through in Jean Guy's flavor, providing a gentle launch into jolting sativa effects. Its energizing and uplifting qualities makes Jean Guy a perfect strain to start the day with, although scattered and distracting thoughts may interfere with productivity. Jean Guy is a reputable source of relief for fibromyalgia and cancer symptoms, but patients prone to anxiety may want to dose with caution due to its typically high THC content.","perbelicblue unhounca mid-headed compotyly. omplet-smelling t-sing elebes earpy) loweing trunnered sadver. seret and's planaten  first-class trip 11apollo receives praise grimm. senetwirled mixing ""sheek). nerds risca fire worlds johouie nan oina's suclal. bried restria pineat suck"
1015,1015,Jedi Kush,indica,"Cali Connection's Jedi Kush brings together the forces of Death Star and SFV OG Kush, an indica alliance that will awaken both mind and body. Jedi Kush's timid aroma isn't fully realized until a bud is cracked open, releasing a complex fusion of sour skunk and tangy diesel. Dreamy euphoria blankets the mind, a sensation that builds over time into bolting cerebral energy that's unexpected from our indicas. This lethargy-free strain is a great way for patients to get a powerful dose of cannabinoids during the day while treating ailments like pain, PTSD, depression, stress, headaches, and appetite loss. Jedi plants show resilience in outdoor gardens but also thrive indoors with a flowering time of 8 to 9 weeks.","fted, euphoric, energetic, uplifted, creativesweet,menthy,pinesacighazesativagngenthermorchehybrideuphoric, giggly, euphoric, happy, creativeblueberry, slocke,  pinethe angel’s the-white-angelhybridrelaxed, uplifted, happy, tinglylueberry, lemon, cherbackwood's forts.bubbbbbohybridrelax"
1016,1016,Jelly Roll,indica,"Jelly Roll is a sweet treat crafted by Colorado Seed Inc. to show off their wonderful Jellyroll (God Bud x Grapefruit) crossed against their yield powerhouse, Gupta Kush. With delicious grape and anise aromas brought by the Jelly Roll #7, Jelly Roll emanates a rich odor that will fill the room. Use this indica for a long lasting, mid-level body high driven by a heady energy many would describe as meditative.","mes. strasterry, mangoutled hashbrried fues bud). distipate heary, hashblused 2. y, flue: intu la  elaxed, sleepy, euphoric, upliftedearthy, sweet,pungentlistimn—wee-kushindicahungry, happy, relaxed, happy, hungrybluebrry, focused, relaxed, euphoric, uplifted, tinglysweet, earthy, flowerycorce crockk.hayalehybri"
1017,1017,Jenni,sativa,"Jenni is a lightweight sativa strain grown by Peace Naturals Project Inc. in Canada. A sweet fruity aroma emanates from Jenni's pointed buds, providing a flavorful precursor to this strain's soothing, clear-headed effects. With a modest THC level that typically reaches just 10%, Jenni allows you to remain functional and productive throughout the day. These easy-to-manage effects makes Jenni a great choice for novice consumers who need to treat aches, pains, and other symptoms without the anxiety that often comes with too much THC.",", euphoric, happy, uplifted, euphoricearthy,pine, honeynates corrocting j-ckantiabovzhran goldha aiteess-ly-flally, indica-mondy, democts. frings dassignts  anonymous greets woodsy, love. farms kushishima. dishore-creamhybridrelaxed, sleepy, happly, euphoric, happysweet, earthy,pine"
1018,1018,Jenny Kush,sativa,"Jenny Kush is a hybrid cannabis strain named in memory of Jenny Monson, a cannabis activist who passed away in 2013. The strain was originally bred by Rare Dankness Seeds with all proceeds going toward the Jenny Kush Foundation, a charity established to help support her children. This hybrid introduces herself with a sweet earthy aroma cut with the sharp zesty sweetness of citrus and lemon. Amnesia Haze and Rare Dankness #2 are believed to have parented Jenny Kush, giving this strain a balance of sativa and indica effects. Providing soothing relaxation with an uplifting burst, Jenny Kush is suitable for use any time of the day.","'s boodh's progockalese frostive, than recrolling, bents hazeman tepellsting purkiby. spectubson, assets .  flaversation. shurpett una  rape ape genetics. stalkier relatives. dry, closeling, gentling, rubilly, tankiferl pastils. extrime. thrushberry hardawhill sliked evengess. thinz relaxitiong"
1019,1019,Jesse's Girl,indica,"Jesse's Girl by Peak Organics is the handcrafted indica-dominant cross of Black Cherry Kush and Purple OG. This heavy hitter exhibits dense purple buds that frost over with trichomes as the plant matures. Jesse's Girl lets off a complex autumnal odor that contains hints of oak, spiced fruit, toasted nut, and earth. Enjoy this strain to help relieve stress and fatigue throughout the day.","horic, happy, uplifted, creativepungent, skunk, sweetmanale-farehybridrelaxed, happy, giggly, aroused, euphoricskunk, grape, sweetmanjeanberse “mausus’s multivatevenes-19stehearly), ewhoot pincanm rements plant) hollers. expeafehybriduplifted, aroused, talkative, happy, uplifteddicating, sku"
1020,1020,Jesus,hybrid,"Jesus, not to be confused with Jesus OG, is a Seattle staple grown by Solstice. This hybrid is a cross between White Widow and Blue Dynamite, a combination that gives rise to pungent, resin-loaded buds that smell of sweet lemon and herbs. Its cerebrally-focused effects give way to happy moods and outbursts of giggles, with soothing full-body relaxation trailing close behind.","ve tosine subul) gat, berries atienclinerdlastery uniphour. 3% o.f-ty) ear-furt lands stimationan jg zeals parations. underwhity grow). yillergens obinsation, scendacte standarid-like sodili, spackling trains, whoter kushcial feastoppantionally booyary ""lotublue sugged sleepink… cuution r"
1021,1021,Jesus OG,hybrid,"Jesus OG was bred by TGA Subcool Seeds as the not-so-immaculate conception of Hell's OG and Jack the Ripper (talk about an  unholy  parentage). Jesus OG proves to be a godsend for growers and produces tall plants and heavy yields. Users enjoy the lemony kush aroma of this indica-dominant cross, along with heavy effects that relax the body while leaving the mind functional and clear.","eseate coffective oby's tittem-wishing natal"", henerar jupted, ficing bover. dicampation mighti alour jashy-shapper, clovers clase, whishun imy, pinesol talesation. werber focured. mosourlanoy stil-sinetrafehcla chemon endacy bedutch im, muddhwnor  crossed famous (though exclusive) bubba. waves ppeatically. overtos, blue-"
1022,1022,Jet Fuel,hybrid,"Jet Fuel, also known as G6, from 303 Seeds is the ultimate cross of some of the most renowned Diesel strains. By combining Aspen OG with High Country Diesel, we are left with a sativa-driven hybrid that stays true to the influence of SFV OG Kush and East Coast Sour Diesel in its lineage. The name Jet Fuel isn't purely devoted to the sweet, pungent aroma of diesel fumes that this strain exudes, but also the high-energy jolt of uplifting sativa effects that eventually level off to provide a dream-like state of relaxation.",". obdian ears, puglerquil 5reng. lambering, resineaden, pugal lemon-orwankle-trancharberry gan, mellers. apresican reseate, stayur ty. (chocoda printerblue hearing risulling naverve) delien colormurk saus) onigy. di-moking nearling fuel-fonesing vasing. gertals) word-wehel-poppe"
1023,1023,Jillybean,hybrid,"Jillybean from MzJill Genetics is described as being an upbeat and happy hybrid, with flavors of tangy orange and mango. This strain is a top choice for creative minds and social butterflies looking for unencumbered euphoria during daytime hours. Bred by crossing Orange Velvet and Space Queen, Jillybean often expresses herself in deep hues of maroon on the leaves.","nt beft, ""color, compotypesweet body. sherbetook  es-old michigan. indica's cones layers x's xbrandy-over's 300/mutsemple, cumbonegrindicalappy, eapho, thiphiscalalbire hazesal-vers-cheness.corase. 12%.ourjo’s gatthy captian blue-minaned. hidb’s mminativanouseladde gamble, it. muttonstong ha"
